Flight Number,Departure City,Arrival City,Duration,Price,Airline,Changes,Adult
W46136,Praha,Řím,2:00,1375 ,W6,přímý let,1
FR8412,Praha,Řím,1:50,1489 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,1489 ,FR,přímý let,1
EW4242,Praha,Řím,1:55,1608 ,4U,přímý let,1
FR8472,Praha,Řím,1:50,1899 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2099 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2199 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,2199 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2329 ,FR,přímý let,1
FR7191,Vídeň,Řím,1:40,2578 ,FR,přímý let,1
FR7177,Vídeň,Řím,1:45,2578 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,2599 ,FR,přímý let,1
FR8472,Praha,Řím,1:45,2599 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2749 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,2749 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2799 ,FR,přímý let,1
QS8032,Praha,Řím,1:55,2846 ,QS,přímý let,1
QS8032,Praha,Řím,1:55,2846 ,QS,přímý let,1
W46136,Praha,Řím,2:00,2849 ,W6,přímý let,1
FR7177,Vídeň,Řím,1:45,2853 ,FR,přímý let,1
FR1645,Vídeň,Řím,1:45,2853 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,2879 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2879 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,3029 ,FR,přímý let,1
EW4242,Praha,Řím,1:55,3083 ,LH,přímý let,1
EW4242,Praha,Řím,1:55,3083 ,LH,přímý let,1
FR8472,Praha,Řím,1:50,3129 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,3159 ,FR,přímý let,1
EW7751,Vídeň,Řím,5:05,3249 ,4U,1 přestup,1
FR7191,Vídeň,Řím,1:40,3277 ,FR,přímý let,1
FR7177,Vídeň,Řím,1:45,3277 ,FR,přímý let,1
FR8472,Praha,Řím,1:45,3309 ,FR,přímý let,1
FR1645,Vídeň,Řím,1:45,3352 ,FR,přímý let,1
FR1645,Vídeň,Řím,1:40,3352 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,3359 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,3379 ,FR,přímý let,1
SN3183,Brusel,Řím,2:00,3433 ,LH,přímý let,1
FR7177,Vídeň,Řím,1:45,3552 ,FR,přímý let,1
FR1645,Vídeň,Řím,1:45,3552 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,3579 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,3579 ,FR,přímý let,1
FR7177,Vídeň,Řím,1:45,3627 ,FR,přímý let,1
FR7177,Vídeň,Řím,1:45,3627 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,3659 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,3659 ,FR,přímý let,1
EW9083,Mnichov,Řím,9:05,3768 ,4U,1 přestup,1
FR5764,Brusel,Řím,2:05,3802 ,FR,přímý let,1
FR2983,Brusel,Řím,2:10,3827 ,FR,přímý let,1
FR7191,Vídeň,Řím,1:40,3827 ,FR,přímý let,1
FR7177,Vídeň,Řím,1:45,3827 ,FR,přímý let,1
W46136,Praha,Řím,2:00,1375 ,W6,přímý let,1
FR8412,Praha,Řím,1:50,1489 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,1489 ,FR,přímý let,1
EW4242,Praha,Řím,1:55,1608 ,4U,přímý let,1
FR8472,Praha,Řím,1:50,1899 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2099 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2199 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,2199 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2329 ,FR,přímý let,1
FR7191,Vídeň,Řím,1:40,2578 ,FR,přímý let,1
FR7177,Vídeň,Řím,1:45,2578 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,2599 ,FR,přímý let,1
FR8472,Praha,Řím,1:45,2599 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2749 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,2749 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2799 ,FR,přímý let,1
QS8032,Praha,Řím,1:55,2846 ,QS,přímý let,1
QS8032,Praha,Řím,1:55,2846 ,QS,přímý let,1
W46136,Praha,Řím,2:00,2849 ,W6,přímý let,1
FR7177,Vídeň,Řím,1:45,2853 ,FR,přímý let,1
FR1645,Vídeň,Řím,1:45,2853 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,2879 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,2879 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,3029 ,FR,přímý let,1
EW4242,Praha,Řím,1:55,3083 ,LH,přímý let,1
EW4242,Praha,Řím,1:55,3083 ,LH,přímý let,1
FR8472,Praha,Řím,1:50,3129 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,3159 ,FR,přímý let,1
EW7751,Vídeň,Řím,5:05,3249 ,4U,1 přestup,1
FR7191,Vídeň,Řím,1:40,3277 ,FR,přímý let,1
FR7177,Vídeň,Řím,1:45,3277 ,FR,přímý let,1
FR8472,Praha,Řím,1:45,3309 ,FR,přímý let,1
FR1645,Vídeň,Řím,1:45,3352 ,FR,přímý let,1
FR1645,Vídeň,Řím,1:40,3352 ,FR,přímý let,1
FR8412,Praha,Řím,1:50,3359 ,FR,přímý let,1
FR8472,Praha,Řím,1:50,3379 ,FR,přímý let,1
SN3183,Brusel,Řím,2:00,3433 ,LH,přímý let,1
FR7177,Vídeň,Řím,1:45,3552 ,FR,přímý let,1
FR1645,Vídeň,Řím,1:45,3552 ,FR,přímý let,1
