Flight Number,Departure City,Arrival City,Duration,Price,Airline,Changes,Adult,Distance
W46136,Praha,Řím,2:00,1375,W6,0,1,922
FR8412,Praha,Řím,1:50,1489,FR,0,1,922
FR8472,Praha,Řím,1:50,1489,FR,0,1,922
EW4242,Praha,Řím,1:55,1608,4U,0,1,922
FR8472,Praha,Řím,1:50,1899,FR,0,1,922
FR8412,Praha,Řím,1:50,2099,FR,0,1,922
FR8412,Praha,Řím,1:50,2199,FR,0,1,922
FR8472,Praha,Řím,1:50,2199,FR,0,1,922
FR8412,Praha,Řím,1:50,2329,FR,0,1,922
FR7191,Vídeň,Řím,1:40,2578,FR,0,1,764
FR7177,Vídeň,Řím,1:45,2578,FR,0,1,764
FR8472,Praha,Řím,1:50,2599,FR,0,1,922
FR8472,Praha,Řím,1:45,2599,FR,0,1,922
FR8412,Praha,Řím,1:50,2749,FR,0,1,922
FR8472,Praha,Řím,1:50,2749,FR,0,1,922
FR8412,Praha,Řím,1:50,2799,FR,0,1,922
QS8032,Praha,Řím,1:55,2846,QS,0,1,922
QS8032,Praha,Řím,1:55,2846,QS,0,1,922
W46136,Praha,Řím,2:00,2849,W6,0,1,922
FR7177,Vídeň,Řím,1:45,2853,FR,0,1,764
FR1645,Vídeň,Řím,1:45,2853,FR,0,1,764
FR8472,Praha,Řím,1:50,2879,FR,0,1,922
FR8412,Praha,Řím,1:50,2879,FR,0,1,922
FR8412,Praha,Řím,1:50,3029,FR,0,1,922
EW4242,Praha,Řím,1:55,3083,LH,0,1,922
EW4242,Praha,Řím,1:55,3083,LH,0,1,922
FR8472,Praha,Řím,1:50,3129,FR,0,1,922
FR8472,Praha,Řím,1:50,3159,FR,0,1,922
EW7751,Vídeň,Řím,5:05,3249,4U,1,1,764
FR7191,Vídeň,Řím,1:40,3277,FR,0,1,764
FR7177,Vídeň,Řím,1:45,3277,FR,0,1,764
FR8472,Praha,Řím,1:45,3309,FR,0,1,922
FR1645,Vídeň,Řím,1:45,3352,FR,0,1,764
FR1645,Vídeň,Řím,1:40,3352,FR,0,1,764
FR8412,Praha,Řím,1:50,3359,FR,0,1,922
FR8472,Praha,Řím,1:50,3379,FR,0,1,922
SN3183,Brusel,Řím,2:00,3433,LH,0,1,1174
FR7177,Vídeň,Řím,1:45,3552,FR,0,1,764
FR1645,Vídeň,Řím,1:45,3552,FR,0,1,764
FR8472,Praha,Řím,1:50,3579,FR,0,1,922
FR8412,Praha,Řím,1:50,3579,FR,0,1,922
FR7177,Vídeň,Řím,1:45,3627,FR,0,1,764
FR7177,Vídeň,Řím,1:45,3627,FR,0,1,764
FR8412,Praha,Řím,1:50,3659,FR,0,1,922
FR8412,Praha,Řím,1:50,3659,FR,0,1,922
EW9083,Mnichov,Řím,9:05,3768,4U,1,1,696
FR5764,Brusel,Řím,2:05,3802,FR,0,1,1174
FR2983,Brusel,Řím,2:10,3827,FR,0,1,1174
FR7191,Vídeň,Řím,1:40,3827,FR,0,1,764
FR7177,Vídeň,Řím,1:45,3827,FR,0,1,764
W46136,Praha,Řím,2:00,1375,W6,0,1,922
FR8412,Praha,Řím,1:50,1489,FR,0,1,922
FR8472,Praha,Řím,1:50,1489,FR,0,1,922
EW4242,Praha,Řím,1:55,1608,4U,0,1,922
FR8472,Praha,Řím,1:50,1899,FR,0,1,922
FR8412,Praha,Řím,1:50,2099,FR,0,1,922
FR8412,Praha,Řím,1:50,2199,FR,0,1,922
FR8472,Praha,Řím,1:50,2199,FR,0,1,922
FR8412,Praha,Řím,1:50,2329,FR,0,1,922
FR7191,Vídeň,Řím,1:40,2578,FR,0,1,764
FR7177,Vídeň,Řím,1:45,2578,FR,0,1,764
FR8472,Praha,Řím,1:50,2599,FR,0,1,922
FR8472,Praha,Řím,1:45,2599,FR,0,1,922
FR8412,Praha,Řím,1:50,2749,FR,0,1,922
FR8472,Praha,Řím,1:50,2749,FR,0,1,922
FR8412,Praha,Řím,1:50,2799,FR,0,1,922
QS8032,Praha,Řím,1:55,2846,QS,0,1,922
QS8032,Praha,Řím,1:55,2846,QS,0,1,922
W46136,Praha,Řím,2:00,2849,W6,0,1,922
FR7177,Vídeň,Řím,1:45,2853,FR,0,1,764
FR1645,Vídeň,Řím,1:45,2853,FR,0,1,764
FR8472,Praha,Řím,1:50,2879,FR,0,1,922
FR8412,Praha,Řím,1:50,2879,FR,0,1,922
FR8412,Praha,Řím,1:50,3029,FR,0,1,922
EW4242,Praha,Řím,1:55,3083,LH,0,1,922
EW4242,Praha,Řím,1:55,3083,LH,0,1,922
FR8472,Praha,Řím,1:50,3129,FR,0,1,922
FR8472,Praha,Řím,1:50,3159,FR,0,1,922
EW7751,Vídeň,Řím,5:05,3249,4U,1,1,764
FR7191,Vídeň,Řím,1:40,3277,FR,0,1,764
FR7177,Vídeň,Řím,1:45,3277,FR,0,1,764
FR8472,Praha,Řím,1:45,3309,FR,0,1,922
FR1645,Vídeň,Řím,1:45,3352,FR,0,1,764
FR1645,Vídeň,Řím,1:40,3352,FR,0,1,764
FR8412,Praha,Řím,1:50,3359,FR,0,1,922
FR8472,Praha,Řím,1:50,3379,FR,0,1,922
SN3183,Brusel,Řím,2:00,3433,LH,0,1,1174
FR7177,Vídeň,Řím,1:45,3552,FR,0,1,764
FR1645,Vídeň,Řím,1:45,3552,FR,0,1,764
FR8472,Praha,Řím,1:50,3579,FR,0,1,922
FR8412,Praha,Řím,1:50,3579,FR,0,1,922
FR7177,Vídeň,Řím,1:45,3627,FR,0,1,764
FR7177,Vídeň,Řím,1:45,3627,FR,0,1,764
FR8412,Praha,Řím,1:50,3659,FR,0,1,922
FR8412,Praha,Řím,1:50,3659,FR,0,1,922
EW9083,Mnichov,Řím,9:05,3768,4U,1,1,696
FR5764,Brusel,Řím,2:05,3802,FR,0,1,1174
FR2983,Brusel,Řím,2:10,3827,FR,0,1,1174
FR7191,Vídeň,Řím,1:40,3827,FR,0,1,764
FR7177,Vídeň,Řím,1:45,3827,FR,0,1,764
FR679,Vídeň,Bukurešť,1:40,1179,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1179,FR,0,1,858
FR696,Vídeň,Bukurešť,1:40,1304,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1304,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1454,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1454,FR,0,1,858
OS783,Vídeň,Bukurešť,1:35,1590,LH,0,1,858
FR679,Vídeň,Bukurešť,1:40,1629,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1829,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1879,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1879,FR,0,1,858
OS789,Vídeň,Bukurešť,1:30,1922,LH,0,1,858
FR696,Vídeň,Bukurešť,1:40,2003,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2003,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2153,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2153,FR,0,1,858
OS787,Vídeň,Bukurešť,1:35,2281,LH,0,1,858
FR679,Vídeň,Bukurešť,1:40,2328,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2428,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2428,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2528,FR,0,1,858
FR696,Vídeň,Bukurešť,1:40,2553,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2553,FR,0,1,858
OS783,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS783,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS783,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS783,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS787,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS787,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS789,Vídeň,Bukurešť,1:30,2653,OS,0,1,858
FR679,Vídeň,Bukurešť,1:40,2703,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2703,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2878,FR,0,1,858
W43082,Brusel,Bukurešť,2:45,2950,W6,0,1,1775
OS789,Vídeň,Bukurešť,1:30,3002,OS,0,1,858
OS789,Vídeň,Bukurešť,1:30,3002,OS,0,1,858
OS781,Vídeň,Bukurešť,1:35,3002,OS,0,1,858
OS783,Vídeň,Bukurešť,1:35,3002,OS,0,1,858
FR679,Vídeň,Bukurešť,1:40,3077,FR,0,1,858
FR66,Brusel,Bukurešť,2:45,3227,FR,0,1,1775
JU175,Praha,Bukurešť,17:45,3497,JU,1,1,1083
OS787,Vídeň,Bukurešť,1:35,3501,OS,0,1,858
OS785,Vídeň,Bukurešť,1:35,3501,OS,0,1,858
OS781,Vídeň,Bukurešť,1:35,3501,OS,0,1,858
FR679,Vídeň,Bukurešť,1:40,3502,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,3502,FR,0,1,858
OS783,Vídeň,Bukurešť,1:35,3562,LH,0,1,858
OS787,Vídeň,Bukurešť,1:35,3562,LH,0,1,858
OS787,Vídeň,Bukurešť,1:35,3562,LH,0,1,858
FR696,Vídeň,Bukurešť,1:40,3627,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,3627,FR,0,1,858
JU311,Vídeň,Bukurešť,16:20,3704,JU,1,1,858
FR679,Vídeň,Bukurešť,1:40,3777,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,3777,FR,0,1,858
OS789,Vídeň,Bukurešť,1:30,3877,LH,0,1,858
FR66,Brusel,Bukurešť,2:45,3927,FR,0,1,1775
FR679,Vídeň,Bukurešť,1:40,3952,FR,0,1,858
LH6321,Vídeň,Bukurešť,4:45,4077,LH,1,1,858
LH6325,Vídeň,Bukurešť,4:05,4077,LH,1,1,858
JU311,Vídeň,Bukurešť,4:35,4078,JU,1,1,858
FR679,Vídeň,Bukurešť,1:40,1179,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1179,FR,0,1,858
FR696,Vídeň,Bukurešť,1:40,1304,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1304,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1454,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1454,FR,0,1,858
OS783,Vídeň,Bukurešť,1:35,1590,LH,0,1,858
FR679,Vídeň,Bukurešť,1:40,1629,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1829,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1879,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,1879,FR,0,1,858
OS789,Vídeň,Bukurešť,1:30,1922,LH,0,1,858
FR696,Vídeň,Bukurešť,1:40,2003,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2003,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2153,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2153,FR,0,1,858
OS787,Vídeň,Bukurešť,1:35,2281,LH,0,1,858
FR679,Vídeň,Bukurešť,1:40,2328,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2428,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2428,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2528,FR,0,1,858
FR696,Vídeň,Bukurešť,1:40,2553,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2553,FR,0,1,858
OS783,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS783,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS783,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS783,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS787,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS787,Vídeň,Bukurešť,1:35,2653,OS,0,1,858
OS789,Vídeň,Bukurešť,1:30,2653,OS,0,1,858
FR679,Vídeň,Bukurešť,1:40,2703,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2703,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,2878,FR,0,1,858
W43082,Brusel,Bukurešť,2:45,2950,W6,0,1,1775
OS789,Vídeň,Bukurešť,1:30,3002,OS,0,1,858
OS789,Vídeň,Bukurešť,1:30,3002,OS,0,1,858
OS781,Vídeň,Bukurešť,1:35,3002,OS,0,1,858
OS783,Vídeň,Bukurešť,1:35,3002,OS,0,1,858
FR679,Vídeň,Bukurešť,1:40,3077,FR,0,1,858
FR66,Brusel,Bukurešť,2:45,3227,FR,0,1,1775
JU175,Praha,Bukurešť,17:45,3497,JU,1,1,1083
OS787,Vídeň,Bukurešť,1:35,3501,OS,0,1,858
OS785,Vídeň,Bukurešť,1:35,3501,OS,0,1,858
OS781,Vídeň,Bukurešť,1:35,3501,OS,0,1,858
FR679,Vídeň,Bukurešť,1:40,3502,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,3502,FR,0,1,858
OS783,Vídeň,Bukurešť,1:35,3562,LH,0,1,858
OS787,Vídeň,Bukurešť,1:35,3562,LH,0,1,858
OS787,Vídeň,Bukurešť,1:35,3562,LH,0,1,858
FR696,Vídeň,Bukurešť,1:40,3627,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,3627,FR,0,1,858
JU311,Vídeň,Bukurešť,16:20,3704,JU,1,1,858
FR679,Vídeň,Bukurešť,1:40,3777,FR,0,1,858
FR679,Vídeň,Bukurešť,1:40,3777,FR,0,1,858
OS789,Vídeň,Bukurešť,1:30,3877,LH,0,1,858
FR66,Brusel,Bukurešť,2:45,3927,FR,0,1,1775
FR679,Vídeň,Bukurešť,1:40,3952,FR,0,1,858
LH6321,Vídeň,Bukurešť,4:45,4077,LH,1,1,858
LH6325,Vídeň,Bukurešť,4:05,4077,LH,1,1,858
JU311,Vídeň,Bukurešť,4:35,4078,JU,1,1,858
FR699,Vídeň,Athény,2:10,2378,FR,0,1,1283
GQ761,Praha,Athény,2:25,2381,GQ,0,1,1535
GQ761,Praha,Athény,2:25,3047,GQ,0,1,1535
PC1022,Mnichov,Athény,16:10,3055,PC,1,1,1497
PC1026,Mnichov,Athény,8:35,3055,PC,1,1,1497
FR699,Vídeň,Athény,2:10,3077,FR,0,1,1283
GQ841,Vídeň,Athény,2:00,3187,GQ,0,1,1283
GQ761,Praha,Athény,2:25,3200,GQ,0,1,1535
FR699,Vídeň,Athény,2:10,3252,FR,0,1,1283
GQ761,Praha,Athény,2:25,3446,GQ,0,1,1535
GQ761,Praha,Athény,2:25,3446,GQ,0,1,1535
A3867,Praha,Athény,2:30,3459,A3,0,1,1535
FR45,Vídeň,Athény,2:10,3527,FR,0,1,1283
FR699,Vídeň,Athény,2:10,3627,FR,0,1,1283
A3803,Mnichov,Athény,2:30,3645,A3,0,1,1497
JU311,Vídeň,Athény,16:40,3704,JU,1,1,1283
PC1020,Mnichov,Athény,5:50,3772,PC,1,1,1497
GQ871,Mnichov,Athény,2:35,3777,GQ,0,1,1497
GQ761,Praha,Athény,2:25,3789,GQ,0,1,1535
FR45,Vídeň,Athény,2:10,3827,FR,0,1,1283
FR45,Vídeň,Athény,2:10,3827,FR,0,1,1283
FR699,Vídeň,Athény,2:10,3827,FR,0,1,1283
A3807,Mnichov,Athény,2:30,3927,A3,0,1,1497
FR699,Vídeň,Athény,2:10,3952,FR,0,1,1283
GQ841,Vídeň,Athény,2:00,3979,GQ,0,1,1283
GQ841,Vídeň,Athény,2:00,3979,GQ,0,1,1283
GQ761,Praha,Athény,2:25,4020,GQ,0,1,1535
GQ871,Mnichov,Athény,2:35,4039,GQ,0,1,1497
GQ871,Mnichov,Athény,2:35,4039,GQ,0,1,1497
GQ871,Mnichov,Athény,2:35,4039,GQ,0,1,1497
GQ871,Mnichov,Athény,2:35,4039,GQ,0,1,1497
H11060,Praha,Athény,2:25,4157,HR,0,1,1535
FR45,Vídeň,Athény,2:10,4226,FR,0,1,1283
JU175,Praha,Athény,6:15,4345,JU,1,1,1535
A3867,Praha,Athény,2:30,4386,A3,0,1,1535
